hotelId,hotelCityCode,hotelName,hotelPic,hotelScore,hotelTag,hotelUrl,hotelPrice,hotelLongitude,hotelLatitude
40,SZX,深圳华强北华联宾馆,http://dimg12.c-ctrip.com/images/fd/hotel/g3/M04/9A/D4/CggYGlXrm_uAKwjZAAu2jBAnBNE232_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/662468.html,534,114.093981,22.541379
41,SZX,深圳呈元驿酒店公寓,http://dimg11.c-ctrip.com/images/2002060000001ujmv9FD9_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/971156.html,328,114.050452,22.525715
42,SZX,深圳罗湖口岸和颐酒店,http://dimg11.c-ctrip.com/images/2002050000000s6cnDDA9_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/1355586.html,286,114.122491,22.533753
43,SZX,深圳香樟商务酒店,http://dimg13.c-ctrip.com/images/200o0e000000700e72A98_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/1380744.html,298,114.062698,22.534386
44,SZX,深圳福瑞诗酒店,http://dimg13.c-ctrip.com/images/200r050000000wdlv2A7C_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/1462776.html,311,114.083587,22.538304
45,SZX,深圳华强北和颐酒店,http://dimg10.c-ctrip.com/images/200g070000002j5kn73AA_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/2030013.html,379,114.088611,22.540313
46,SZX,桔子酒店·精选（深圳罗湖店）,http://dimg10.c-ctrip.com/images/fd/hotel/g4/M02/AB/AF/CggYHVZ8oVuALDDkAAJLkmhK86c149_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/2247932.html,399,114.126562,22.544169
47,SZX,迎商酒店（深圳东门店）,http://dimg10.c-ctrip.com/images/fd/hotel/g5/M02/A7/B2/CggYsFcrZhGAD0jFAATKiqX6nK4742_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/5153544.html,215,114.13046,22.548964
48,SZX,华里精品酒店（深圳创意园店）,http://dimg10.c-ctrip.com/images/200g0700000022b6z2ADC_R_300_225.jpg,4,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/5215105.html,499,113.995765,22.540267
49,SZX,深圳滨河时代亚朵S酒店,http://dimg13.c-ctrip.com/images/200m070000002nysn4E5C_R_300_225.jpg,5,经济型,http://m.ctrip.com/webapp/hotel/hoteldetail/5860925.html,763,114.026332,22.529016
